_dedupe_key,_endpoint,_member,_query_label,_collected_at,_comment_id,_video_id,_channel_id,comment_published_at,comment_author,comment_like_count,comment_text,_source_file,_parent_comment_id,comment_author_channel_id
commentThreads.list|Ugg7Rs722wefRXgCoAEC|UCgrsF4TYwmrV0QsXb8AoeHQ|hVEVl-g8p8s||Ugg7Rs722wefRXgCoAEC|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:33.828934+00:00,Ugg7Rs722wefRXgCoAEC,hVEVl-g8p8s,UCgrsF4TYwmrV0QsXb8AoeHQ,2017-02-22T18:48:42Z,@DrPimplePopper,6333.0,Stay tuned for my video publishing TOMORROW. When he comes back BUT I steam & prep his face first!!,youtube_comments_raw_member234.csv,,
commentThreads.list|UgyzPjBTeHzJLDRlTsp4AaABAg|UCgrsF4TYwmrV0QsXb8AoeHQ|hVEVl-g8p8s||UgyzPjBTeHzJLDRlTsp4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:33.828934+00:00,UgyzPjBTeHzJLDRlTsp4AaABAg,hVEVl-g8p8s,UCgrsF4TYwmrV0QsXb8AoeHQ,2019-08-25T15:07:13Z,@jasperclydeinsd592,6375.0,Who else is like “girrrl just get in there with those fingernails that tool ain’t cutting it!”,youtube_comments_raw_member234.csv,,
commentThreads.list|UgxBDFrrWTS3bm9xsYV4AaABAg|UCgrsF4TYwmrV0QsXb8AoeHQ|hVEVl-g8p8s||UgxBDFrrWTS3bm9xsYV4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:33.828934+00:00,UgxBDFrrWTS3bm9xsYV4AaABAg,hVEVl-g8p8s,UCgrsF4TYwmrV0QsXb8AoeHQ,2018-12-14T03:23:13Z,@ruzainiali,10418.0,AM I THE ONLY ONE WHO IS NOT SATISFIED AT ALL AT THIS ONE BCS THE BLACKHEADS DOESNT CAME OUT FULLY?,youtube_comments_raw_member234.csv,,
commentThreads.list|UghG-IOM_MA5oXgCoAEC|UCgrsF4TYwmrV0QsXb8AoeHQ|hVEVl-g8p8s||UghG-IOM_MA5oXgCoAEC|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:33.828934+00:00,UghG-IOM_MA5oXgCoAEC,hVEVl-g8p8s,UCgrsF4TYwmrV0QsXb8AoeHQ,2017-05-22T20:55:50Z,@richardkeith1168,15888.0,I had one on my nose and it made a noise when I popped it and it flew into the mirror.......... satisfying,youtube_comments_raw_member234.csv,,
commentThreads.list|UgzL9DCb_f4vZWkcO2h4AaABAg|UCgrsF4TYwmrV0QsXb8AoeHQ|hVEVl-g8p8s||UgzL9DCb_f4vZWkcO2h4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:33.828934+00:00,UgzL9DCb_f4vZWkcO2h4AaABAg,hVEVl-g8p8s,UCgrsF4TYwmrV0QsXb8AoeHQ,2024-12-04T09:58:08Z,@nadiacaress4303,12.0,This video an example of how useless the comedon extractor is...,youtube_comments_raw_member234.csv,,
commentThreads.list|Ugh1rbXi-j1Vc3gCoAEC|UCgrsF4TYwmrV0QsXb8AoeHQ|hVEVl-g8p8s||Ugh1rbXi-j1Vc3gCoAEC|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:33.828934+00:00,Ugh1rbXi-j1Vc3gCoAEC,hVEVl-g8p8s,UCgrsF4TYwmrV0QsXb8AoeHQ,2017-02-27T04:13:22Z,@tealamh,5979.0,"what a polite kid, seems pretty bright too",youtube_comments_raw_member234.csv,,
commentThreads.list|UgzZM4EpY8Jw1FP4IIZ4AaABAg|UCgrsF4TYwmrV0QsXb8AoeHQ|hVEVl-g8p8s||UgzZM4EpY8Jw1FP4IIZ4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:33.828934+00:00,UgzZM4EpY8Jw1FP4IIZ4AaABAg,hVEVl-g8p8s,UCgrsF4TYwmrV0QsXb8AoeHQ,2021-01-31T04:58:50Z,@Heareview,2063.0,The tool tip is just too thick to squeeze anything out.,youtube_comments_raw_member234.csv,,
commentThreads.list|UgjnJvhFptAmHXgCoAEC|UCgrsF4TYwmrV0QsXb8AoeHQ|hVEVl-g8p8s||UgjnJvhFptAmHXgCoAEC|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:33.828934+00:00,UgjnJvhFptAmHXgCoAEC,hVEVl-g8p8s,UCgrsF4TYwmrV0QsXb8AoeHQ,2017-04-05T23:19:33Z,@lmdladyluck,6908.0,his blk heads makes me angry lol they are not cooperating,youtube_comments_raw_member234.csv,,
commentThreads.list|UgyJ2fg6HLkEI5PU7Wx4AaABAg|UCgrsF4TYwmrV0QsXb8AoeHQ|hVEVl-g8p8s||UgyJ2fg6HLkEI5PU7Wx4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:33.828934+00:00,UgyJ2fg6HLkEI5PU7Wx4AaABAg,hVEVl-g8p8s,UCgrsF4TYwmrV0QsXb8AoeHQ,2024-12-01T04:25:53Z,@johnritter4575,13.0,That tool really wasn’t doing the job,youtube_comments_raw_member234.csv,,
commentThreads.list|UgxAPnrPeL6GSsx8IUl4AaABAg|UCgrsF4TYwmrV0QsXb8AoeHQ|hVEVl-g8p8s||UgxAPnrPeL6GSsx8IUl4AaABAg|,commentThreads.list,member_2,"skincare routine, skincare review, dermatologist skincare, acne skincare, retinol routine, sunscreen review, sensitive skin skincare",2026-03-01T04:08:33.828934+00:00,UgxAPnrPeL6GSsx8IUl4AaABAg,hVEVl-g8p8s,UCgrsF4TYwmrV0QsXb8AoeHQ,2018-04-15T07:05:45Z,@TheMysteryKitty,743.0,Omg he’s just dragging his mom 😭😂,youtube_comments_raw_member234.csv,,
